رمز المادة,اسم المادة,اسم المستودع,المجموعة,الواحدة 1,الواحدة 2,الر مز الوارد,الإسم الوارد,سعر الشراء
SPER000175,جلبة سن داخلي نحاس ( 0.75 × 0.5 ),Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICF000013,,6
RAWM000040,لوحة فايبر جلاس على شكل وردة,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,,,
SPER000176,PLUG 2*3-PIN 2 مقبس,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICP000303,,5
SPER000177,ماكينة سنفرة تعمل بالهواء 150 ملي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,UAOBS-101C6,,450
SPER000178,خابور رأس الرشاش ,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICS000311,,15
RAWM000041,خشب إم دي إف عادي 18مم×122×244سم,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,2044,,55
SPER000179,آلة حفر مسامير صغيرة 10 مم,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICD000158,,190
SPER000180,ريشة تربيط المسامير ثنائي,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,باكيت,,ICP000167,,35
SPER000181,TINSIL ( A+B ) 20 KG SET 80-15,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,8015,,"2,360.000"
RAWM000042,XL PRIMER FLASH RAPID GREY 3 LTR,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,01C030310,,104
SPER000182,برغي حديد 20×8,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000713,,0.8
PACK000005,كرتون مضلع للتغليف,Packaging - تعبئة وتغليف - A,تعبئة وتغليف,حبة,,,,11.715
SPER000183,مجسم راس من أسياخ النحاس,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,476.23
SPER000184,ماكينة جلخ داخلي تعمل بالهواء,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,UAST-200AL,,185.71
SPER000185,مجرب الماني كبير,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICT000078,,4
RAWM000043,معجون أساس,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,,,90
SPER000186,سنفرة,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع لمعدات كهربائية,دزينة,,,,10
SPER000187,مسمار دباسة مقاس 35,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,F35,,18
RAWM000044,تنر ايطالي 9 لتر,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,عبوة,,ICT000085,,50
RAWM000045,خشب إم دي إف عادي 3مم×122×244سم,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,لوح,,2040,,13.02
SPER000188,برغي حديد مكلفن 10×50,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000198,,0.6
SPER000189,برغي الين  10×20 اسود,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,ICB000478,,0.8
SPER000190,طقم اكسسوارات ملكان,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,طقم,,,,70
SPER000191,طقم اكسسوارات ملكان كتف,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,طقم,,,,5
SPER000192,قاعدة ملكان زجاج,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,
SPER000193,CK7-8-A,Spare Parts & Small Equipment - A - قطع الغيار والعدد والأدوات الصغيرة - A,قطع وأدوات صغيرة,حبة,,,,
RAWM000046,CLASSIC MIX CRYL,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,ليتر,,G203-MIX,,37.14
RAWM000047,CLASSIC THINNER SLOW 5241 5L,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,كالون,,G203-SLTH,,55
RAWM000048,CLASSIC HARDNER FAST 4222 1L,Raw Materials - A - المواد الأولية - A,Raw Material - مواد أولية,حبة,,G203-HFST,,30
